Municipios;Sexo;Periodo;Total
08006 Arenys de Mar;Total;2023;16.342
08006 Arenys de Mar;Total;2022;16.155
08006 Arenys de Mar;Total;2021;15.942
08006 Arenys de Mar;Total;2020;15.941
08006 Arenys de Mar;Total;2019;15.776
08006 Arenys de Mar;Total;2018;15.533
08006 Arenys de Mar;Total;2017;15.368
08006 Arenys de Mar;Total;2016;15.253
08006 Arenys de Mar;Total;2015;15.289
08006 Arenys de Mar;Total;2014;15.307
08006 Arenys de Mar;Total;2013;15.224
08006 Arenys de Mar;Total;2012;15.030
08006 Arenys de Mar;Total;2011;14.863
08006 Arenys de Mar;Total;2010;14.688
08006 Arenys de Mar;Total;2009;14.627
08006 Arenys de Mar;Total;2008;14.449
08006 Arenys de Mar;Total;2007;14.164
08006 Arenys de Mar;Total;2006;14.016
08006 Arenys de Mar;Total;2005;13.860
08006 Arenys de Mar;Total;2004;13.428
08006 Arenys de Mar;Total;2003;13.431
08006 Arenys de Mar;Total;2002;13.107
08006 Arenys de Mar;Total;2001;12.819
08006 Arenys de Mar;Total;2000;12.610
08006 Arenys de Mar;Total;1999;12.345
08006 Arenys de Mar;Total;1998;12.238
08006 Arenys de Mar;Total;1997;""
08006 Arenys de Mar;Total;1996;11.827
08006 Arenys de Mar;Hombres;2025;8.268
08006 Arenys de Mar;Hombres;2024;8.060
08006 Arenys de Mar;Hombres;2023;7.948
08006 Arenys de Mar;Hombres;2022;7.854
08006 Arenys de Mar;Hombres;2021;7.749
08006 Arenys de Mar;Hombres;2020;7.761
08006 Arenys de Mar;Hombres;2019;7.683
08006 Arenys de Mar;Hombres;2018;7.536
08006 Arenys de Mar;Hombres;2017;7.457
08006 Arenys de Mar;Hombres;2016;7.463
08006 Arenys de Mar;Hombres;2015;7.491
08006 Arenys de Mar;Hombres;2014;7.509
08006 Arenys de Mar;Hombres;2013;7.457
08006 Arenys de Mar;Hombres;2012;7.400
08006 Arenys de Mar;Hombres;2011;7.307
08006 Arenys de Mar;Hombres;2010;7.202
08006 Arenys de Mar;Hombres;2009;7.166
08006 Arenys de Mar;Hombres;2008;7.053
08006 Arenys de Mar;Hombres;2007;6.926
08006 Arenys de Mar;Hombres;2006;6.855
08006 Arenys de Mar;Hombres;2005;6.760
08006 Arenys de Mar;Hombres;2004;6.544
08006 Arenys de Mar;Hombres;2003;6.549
08006 Arenys de Mar;Hombres;2002;6.362
08006 Arenys de Mar;Hombres;2001;6.184
08006 Arenys de Mar;Hombres;2000;6.046
08006 Arenys de Mar;Hombres;1999;5.948
08006 Arenys de Mar;Hombres;1998;5.904
08006 Arenys de Mar;Hombres;1997;""
08006 Arenys de Mar;Hombres;1996;5.672
08006 Arenys de Mar;Mujeres;2025;8.774
08006 Arenys de Mar;Mujeres;2024;8.582
08006 Arenys de Mar;Mujeres;2023;8.394
08006 Arenys de Mar;Mujeres;2022;8.301
08006 Arenys de Mar;Mujeres;2021;8.193
08006 Arenys de Mar;Mujeres;2020;8.180
08006 Arenys de Mar;Mujeres;2019;8.093
08006 Arenys de Mar;Mujeres;2018;7.997
08006 Arenys de Mar;Mujeres;2017;7.911
08006 Arenys de Mar;Mujeres;2016;7.790
08006 Arenys de Mar;Mujeres;2015;7.798
08006 Arenys de Mar;Mujeres;2014;7.798
08006 Arenys de Mar;Mujeres;2013;7.767
08006 Arenys de Mar;Mujeres;2012;7.630
08006 Arenys de Mar;Mujeres;2011;7.556
08006 Arenys de Mar;Mujeres;2010;7.486
08006 Arenys de Mar;Mujeres;2009;7.461
08006 Arenys de Mar;Mujeres;2008;7.396
08006 Arenys de Mar;Mujeres;2007;7.238
08006 Arenys de Mar;Mujeres;2006;7.161
08006 Arenys de Mar;Mujeres;2005;7.100
08006 Arenys de Mar;Mujeres;2004;6.884
08006 Arenys de Mar;Mujeres;2003;6.882
08006 Arenys de Mar;Mujeres;2002;6.745
08006 Arenys de Mar;Mujeres;2001;6.635
08006 Arenys de Mar;Mujeres;2000;6.564
08006 Arenys de Mar;Mujeres;1999;6.397
08006 Arenys de Mar;Mujeres;1998;6.334
08006 Arenys de Mar;Mujeres;1997;""
08006 Arenys de Mar;Mujeres;1996;6.155
08007 Arenys de Munt;Total;2025;9.558
08007 Arenys de Munt;Total;2024;9.458
08007 Arenys de Munt;Total;2023;9.413
08007 Arenys de Munt;Total;2022;9.278
08007 Arenys de Munt;Total;2021;9.191
