Municipios;Sexo;Periodo;Total
17006 Alp;Mujeres;2009;817
17006 Alp;Mujeres;2008;801
17006 Alp;Mujeres;2007;753
17006 Alp;Mujeres;2006;696
17006 Alp;Mujeres;2005;663
17006 Alp;Mujeres;2004;624
17006 Alp;Mujeres;2003;612
17006 Alp;Mujeres;2002;599
17006 Alp;Mujeres;2001;580
17006 Alp;Mujeres;2000;574
17006 Alp;Mujeres;1999;545
17006 Alp;Mujeres;1998;535
17006 Alp;Mujeres;1997;""
17006 Alp;Mujeres;1996;487
17007 Amer;Total;2025;2.422
17007 Amer;Total;2024;2.415
17007 Amer;Total;2023;2.423
17007 Amer;Total;2022;2.422
17007 Amer;Total;2021;2.383
17007 Amer;Total;2020;2.332
17007 Amer;Total;2019;2.298
17007 Amer;Total;2018;2.256
17007 Amer;Total;2017;2.242
17007 Amer;Total;2016;2.260
17007 Amer;Total;2015;2.250
17007 Amer;Total;2014;2.281
17007 Amer;Total;2013;2.283
17007 Amer;Total;2012;2.277
17007 Amer;Total;2011;2.277
17007 Amer;Total;2010;2.306
17007 Amer;Total;2009;2.304
17007 Amer;Total;2008;2.270
17007 Amer;Total;2007;2.266
17007 Amer;Total;2006;2.258
17007 Amer;Total;2005;2.237
17007 Amer;Total;2004;2.184
17007 Amer;Total;2003;2.189
17007 Amer;Total;2002;2.196
17007 Amer;Total;2001;2.205
17007 Amer;Total;2000;2.220
17007 Amer;Total;1999;2.246
17007 Amer;Total;1998;2.241
17007 Amer;Total;1997;""
17007 Amer;Total;1996;2.276
17007 Amer;Hombres;2025;1.205
17007 Amer;Hombres;2024;1.206
17007 Amer;Hombres;2023;1.198
17007 Amer;Hombres;2022;1.185
17007 Amer;Hombres;2021;1.170
17007 Amer;Hombres;2020;1.144
17007 Amer;Hombres;2019;1.122
17007 Amer;Hombres;2018;1.106
17007 Amer;Hombres;2017;1.090
17007 Amer;Hombres;2016;1.107
17007 Amer;Hombres;2015;1.095
17007 Amer;Hombres;2014;1.095
17007 Amer;Hombres;2013;1.099
17007 Amer;Hombres;2012;1.105
17007 Amer;Hombres;2011;1.127
17007 Amer;Hombres;2010;1.144
17007 Amer;Hombres;2009;1.146
17007 Amer;Hombres;2008;1.109
17007 Amer;Hombres;2007;1.132
17007 Amer;Hombres;2006;1.127
17007 Amer;Hombres;2005;1.111
17007 Amer;Hombres;2004;1.077
17007 Amer;Hombres;2003;1.075
17007 Amer;Hombres;2002;1.080
17007 Amer;Hombres;2001;1.089
17007 Amer;Hombres;2000;1.092
17007 Amer;Hombres;1999;1.114
17007 Amer;Hombres;1998;1.108
17007 Amer;Hombres;1997;""
17007 Amer;Hombres;1996;1.126
17007 Amer;Mujeres;2025;1.217
17007 Amer;Mujeres;2024;1.209
17007 Amer;Mujeres;2023;1.225
17007 Amer;Mujeres;2022;1.237
17007 Amer;Mujeres;2021;1.213
17007 Amer;Mujeres;2020;1.188
17007 Amer;Mujeres;2019;1.176
17007 Amer;Mujeres;2018;1.150
17007 Amer;Mujeres;2017;1.152
17007 Amer;Mujeres;2016;1.153
17007 Amer;Mujeres;2015;1.155
17007 Amer;Mujeres;2014;1.186
17007 Amer;Mujeres;2013;1.184
17007 Amer;Mujeres;2012;1.172
17007 Amer;Mujeres;2011;1.150
17007 Amer;Mujeres;2010;1.162
17007 Amer;Mujeres;2009;1.158
17007 Amer;Mujeres;2008;1.161
17007 Amer;Mujeres;2007;1.134
17007 Amer;Mujeres;2006;1.131
17007 Amer;Mujeres;2005;1.126
17007 Amer;Mujeres;2004;1.107
17007 Amer;Mujeres;2003;1.114
17007 Amer;Mujeres;2002;1.116
17007 Amer;Mujeres;2001;1.116
17007 Amer;Mujeres;2000;1.128
17007 Amer;Mujeres;1999;1.132
17007 Amer;Mujeres;1998;1.133
17007 Amer;Mujeres;1997;""
17007 Amer;Mujeres;1996;1.150
17008 Anglès;Total;2025;5.944
17008 Anglès;Total;2024;5.969
17008 Anglès;Total;2023;5.884
17008 Anglès;Total;2022;5.682
17008 Anglès;Total;2021;5.709
17008 Anglès;Total;2020;5.654
17008 Anglès;Total;2019;5.599
17008 Anglès;Total;2018;5.519
17008 Anglès;Total;2017;5.479
17008 Anglès;Total;2016;5.473
17008 Anglès;Total;2015;5.540
17008 Anglès;Total;2014;5.606
17008 Anglès;Total;2013;5.662
17008 Anglès;Total;2012;5.719
17008 Anglès;Total;2011;5.637
17008 Anglès;Total;2010;5.560
17008 Anglès;Total;2009;5.569
17008 Anglès;Total;2008;5.446
17008 Anglès;Total;2007;5.281
17008 Anglès;Total;2006;5.211
17008 Anglès;Total;2005;5.191
17008 Anglès;Total;2004;5.096
17008 Anglès;Total;2003;5.049
17008 Anglès;Total;2002;5.020
17008 Anglès;Total;2001;4.973
17008 Anglès;Total;2000;5.009
17008 Anglès;Total;1999;4.943
17008 Anglès;Total;1998;4.752
17008 Anglès;Total;1997;""
17008 Anglès;Total;1996;4.785
17008 Anglès;Hombres;2025;2.968
17008 Anglès;Hombres;2024;2.989
17008 Anglès;Hombres;2023;2.958
17008 Anglès;Hombres;2022;2.851
17008 Anglès;Hombres;2021;2.850
17008 Anglès;Hombres;2020;2.817
17008 Anglès;Hombres;2019;2.780
17008 Anglès;Hombres;2018;2.735
17008 Anglès;Hombres;2017;2.713
17008 Anglès;Hombres;2016;2.709
17008 Anglès;Hombres;2015;2.748
17008 Anglès;Hombres;2014;2.786
17008 Anglès;Hombres;2013;2.818
17008 Anglès;Hombres;2012;2.850
17008 Anglès;Hombres;2011;2.828
17008 Anglès;Hombres;2010;2.801
17008 Anglès;Hombres;2009;2.828
17008 Anglès;Hombres;2008;2.792
17008 Anglès;Hombres;2007;2.697
17008 Anglès;Hombres;2006;2.679
17008 Anglès;Hombres;2005;2.687
17008 Anglès;Hombres;2004;2.625
17008 Anglès;Hombres;2003;2.606
17008 Anglès;Hombres;2002;2.572
17008 Anglès;Hombres;2001;2.529
17008 Anglès;Hombres;2000;2.527
17008 Anglès;Hombres;1999;2.471
17008 Anglès;Hombres;1998;2.394
17008 Anglès;Hombres;1997;""
17008 Anglès;Hombres;1996;2.427
17008 Anglès;Mujeres;2025;2.976
17008 Anglès;Mujeres;2024;2.980
17008 Anglès;Mujeres;2023;2.926
17008 Anglès;Mujeres;2022;2.831
17008 Anglès;Mujeres;2021;2.859
17008 Anglès;Mujeres;2020;2.837
17008 Anglès;Mujeres;2019;2.819
17008 Anglès;Mujeres;2018;2.784
17008 Anglès;Mujeres;2017;2.766
17008 Anglès;Mujeres;2016;2.764
17008 Anglès;Mujeres;2015;2.792
17008 Anglès;Mujeres;2014;2.820
17008 Anglès;Mujeres;2013;2.844
17008 Anglès;Mujeres;2012;2.869
17008 Anglès;Mujeres;2011;2.809
17008 Anglès;Mujeres;2010;2.759
17008 Anglès;Mujeres;2009;2.741
17008 Anglès;Mujeres;2008;2.654
17008 Anglès;Mujeres;2007;2.584
17008 Anglès;Mujeres;2006;2.532
17008 Anglès;Mujeres;2005;2.504
17008 Anglès;Mujeres;2004;2.471
17008 Anglès;Mujeres;2003;2.443
17008 Anglès;Mujeres;2002;2.448
17008 Anglès;Mujeres;2001;2.444
17008 Anglès;Mujeres;2000;2.482
17008 Anglès;Mujeres;1999;2.472
17008 Anglès;Mujeres;1998;2.358
17008 Anglès;Mujeres;1997;""
17008 Anglès;Mujeres;1996;2.358
17009 Arbúcies;Total;2025;6.665
17009 Arbúcies;Total;2024;6.574
17009 Arbúcies;Total;2023;6.531
17009 Arbúcies;Total;2022;6.474
