Municipios;Sexo;Periodo;Total
25004 Alamús, Els;Mujeres;1998;339
25004 Alamús, Els;Mujeres;1997;""
25004 Alamús, Els;Mujeres;1996;337
25006 Albagés, L';Total;2025;339
25006 Albagés, L';Total;2024;344
25006 Albagés, L';Total;2023;356
25006 Albagés, L';Total;2022;348
25006 Albagés, L';Total;2021;357
25006 Albagés, L';Total;2020;361
25006 Albagés, L';Total;2019;369
25006 Albagés, L';Total;2018;375
25006 Albagés, L';Total;2017;393
25006 Albagés, L';Total;2016;403
25006 Albagés, L';Total;2015;419
25006 Albagés, L';Total;2014;419
25006 Albagés, L';Total;2013;427
25006 Albagés, L';Total;2012;425
25006 Albagés, L';Total;2011;449
25006 Albagés, L';Total;2010;462
25006 Albagés, L';Total;2009;476
25006 Albagés, L';Total;2008;476
25006 Albagés, L';Total;2007;490
25006 Albagés, L';Total;2006;492
25006 Albagés, L';Total;2005;491
25006 Albagés, L';Total;2004;502
25006 Albagés, L';Total;2003;512
25006 Albagés, L';Total;2002;502
25006 Albagés, L';Total;2001;502
25006 Albagés, L';Total;2000;510
25006 Albagés, L';Total;1999;499
25006 Albagés, L';Total;1998;512
25006 Albagés, L';Total;1997;""
25006 Albagés, L';Total;1996;507
25006 Albagés, L';Hombres;2025;183
25006 Albagés, L';Hombres;2024;187
25006 Albagés, L';Hombres;2023;189
25006 Albagés, L';Hombres;2022;185
25006 Albagés, L';Hombres;2021;189
25006 Albagés, L';Hombres;2020;189
25006 Albagés, L';Hombres;2019;194
25006 Albagés, L';Hombres;2018;199
25006 Albagés, L';Hombres;2017;211
25006 Albagés, L';Hombres;2016;212
25006 Albagés, L';Hombres;2015;222
25006 Albagés, L';Hombres;2014;220
25006 Albagés, L';Hombres;2013;224
25006 Albagés, L';Hombres;2012;224
25006 Albagés, L';Hombres;2011;238
25006 Albagés, L';Hombres;2010;250
25006 Albagés, L';Hombres;2009;257
25006 Albagés, L';Hombres;2008;252
25006 Albagés, L';Hombres;2007;260
25006 Albagés, L';Hombres;2006;263
25006 Albagés, L';Hombres;2005;263
25006 Albagés, L';Hombres;2004;264
25006 Albagés, L';Hombres;2003;272
25006 Albagés, L';Hombres;2002;266
25006 Albagés, L';Hombres;2001;266
25006 Albagés, L';Hombres;2000;265
25006 Albagés, L';Hombres;1999;261
25006 Albagés, L';Hombres;1998;266
25006 Albagés, L';Hombres;1997;""
25006 Albagés, L';Hombres;1996;265
25006 Albagés, L';Mujeres;2025;156
25006 Albagés, L';Mujeres;2024;157
25006 Albagés, L';Mujeres;2023;167
25006 Albagés, L';Mujeres;2022;163
25006 Albagés, L';Mujeres;2021;168
25006 Albagés, L';Mujeres;2020;172
25006 Albagés, L';Mujeres;2019;175
25006 Albagés, L';Mujeres;2018;176
25006 Albagés, L';Mujeres;2017;182
25006 Albagés, L';Mujeres;2016;191
25006 Albagés, L';Mujeres;2015;197
25006 Albagés, L';Mujeres;2014;199
25006 Albagés, L';Mujeres;2013;203
25006 Albagés, L';Mujeres;2012;201
25006 Albagés, L';Mujeres;2011;211
25006 Albagés, L';Mujeres;2010;212
25006 Albagés, L';Mujeres;2009;219
25006 Albagés, L';Mujeres;2008;224
25006 Albagés, L';Mujeres;2007;230
25006 Albagés, L';Mujeres;2006;229
25006 Albagés, L';Mujeres;2005;228
25006 Albagés, L';Mujeres;2004;238
25006 Albagés, L';Mujeres;2003;240
25006 Albagés, L';Mujeres;2002;236
25006 Albagés, L';Mujeres;2001;236
25006 Albagés, L';Mujeres;2000;245
25006 Albagés, L';Mujeres;1999;238
25006 Albagés, L';Mujeres;1998;246
25006 Albagés, L';Mujeres;1997;""
25006 Albagés, L';Mujeres;1996;242
25007 Albatàrrec;Total;2025;2.331
25007 Albatàrrec;Total;2024;2.251
25007 Albatàrrec;Total;2023;2.238
25007 Albatàrrec;Total;2022;2.217
25007 Albatàrrec;Total;2021;2.224
25007 Albatàrrec;Total;2020;2.236
25007 Albatàrrec;Total;2019;2.221
25007 Albatàrrec;Total;2018;2.335
25007 Albatàrrec;Total;2017;2.275
25007 Albatàrrec;Total;2016;2.291
25007 Albatàrrec;Total;2015;2.214
25007 Albatàrrec;Total;2014;2.139
25007 Albatàrrec;Total;2013;2.090
25007 Albatàrrec;Total;2012;2.113
25007 Albatàrrec;Total;2011;2.040
25007 Albatàrrec;Total;2010;1.979
25007 Albatàrrec;Total;2009;1.872
25007 Albatàrrec;Total;2008;1.749
25007 Albatàrrec;Total;2007;1.639
25007 Albatàrrec;Total;2006;1.519
25007 Albatàrrec;Total;2005;1.444
25007 Albatàrrec;Total;2004;1.393
25007 Albatàrrec;Total;2003;1.306
25007 Albatàrrec;Total;2002;1.236
25007 Albatàrrec;Total;2001;1.189
25007 Albatàrrec;Total;2000;1.130
25007 Albatàrrec;Total;1999;1.096
25007 Albatàrrec;Total;1998;1.069
25007 Albatàrrec;Total;1997;""
25007 Albatàrrec;Total;1996;1.007
25007 Albatàrrec;Hombres;2025;1.181
25007 Albatàrrec;Hombres;2024;1.141
25007 Albatàrrec;Hombres;2023;1.142
25007 Albatàrrec;Hombres;2022;1.141
25007 Albatàrrec;Hombres;2021;1.148
25007 Albatàrrec;Hombres;2020;1.142
25007 Albatàrrec;Hombres;2019;1.150
25007 Albatàrrec;Hombres;2018;1.205
25007 Albatàrrec;Hombres;2017;1.183
25007 Albatàrrec;Hombres;2016;1.193
25007 Albatàrrec;Hombres;2015;1.156
25007 Albatàrrec;Hombres;2014;1.112
25007 Albatàrrec;Hombres;2013;1.096
25007 Albatàrrec;Hombres;2012;1.101
25007 Albatàrrec;Hombres;2011;1.063
25007 Albatàrrec;Hombres;2010;1.040
25007 Albatàrrec;Hombres;2009;985
25007 Albatàrrec;Hombres;2008;941
25007 Albatàrrec;Hombres;2007;871
25007 Albatàrrec;Hombres;2006;814
25007 Albatàrrec;Hombres;2005;776
25007 Albatàrrec;Hombres;2004;731
25007 Albatàrrec;Hombres;2003;673
25007 Albatàrrec;Hombres;2002;638
25007 Albatàrrec;Hombres;2001;601
25007 Albatàrrec;Hombres;2000;567
25007 Albatàrrec;Hombres;1999;547
25007 Albatàrrec;Hombres;1998;533
25007 Albatàrrec;Hombres;1997;""
25007 Albatàrrec;Hombres;1996;499
25007 Albatàrrec;Mujeres;2025;1.150
25007 Albatàrrec;Mujeres;2024;1.110
25007 Albatàrrec;Mujeres;2023;1.096
25007 Albatàrrec;Mujeres;2022;1.076
25007 Albatàrrec;Mujeres;2021;1.076
25007 Albatàrrec;Mujeres;2020;1.094
25007 Albatàrrec;Mujeres;2019;1.071
25007 Albatàrrec;Mujeres;2018;1.130
25007 Albatàrrec;Mujeres;2017;1.092
25007 Albatàrrec;Mujeres;2016;1.098
25007 Albatàrrec;Mujeres;2015;1.058
25007 Albatàrrec;Mujeres;2014;1.027
25007 Albatàrrec;Mujeres;2013;994
25007 Albatàrrec;Mujeres;2012;1.012
25007 Albatàrrec;Mujeres;2011;977
