Municipios;Sexo;Periodo;Total
43027 Bisbal de Montsant, La;Total;2025;214
43027 Bisbal de Montsant, La;Total;2024;208
43027 Bisbal de Montsant, La;Total;2023;207
43027 Bisbal de Montsant, La;Total;2022;219
43027 Bisbal de Montsant, La;Total;2021;218
43027 Bisbal de Montsant, La;Hombres;2025;121
43027 Bisbal de Montsant, La;Hombres;2024;118
43027 Bisbal de Montsant, La;Hombres;2023;118
43027 Bisbal de Montsant, La;Hombres;2022;125
43027 Bisbal de Montsant, La;Hombres;2021;124
43027 Bisbal de Montsant, La;Mujeres;2025;93
43027 Bisbal de Montsant, La;Mujeres;2024;90
43027 Bisbal de Montsant, La;Mujeres;2023;89
43027 Bisbal de Montsant, La;Mujeres;2022;94
43027 Bisbal de Montsant, La;Mujeres;2021;94
43028 Bisbal del Penedès, La;Total;2025;4.278
43028 Bisbal del Penedès, La;Total;2024;4.168
43028 Bisbal del Penedès, La;Total;2023;4.148
43028 Bisbal del Penedès, La;Total;2022;4.062
43028 Bisbal del Penedès, La;Total;2021;3.830
43028 Bisbal del Penedès, La;Hombres;2025;2.225
43028 Bisbal del Penedès, La;Hombres;2024;2.168
43028 Bisbal del Penedès, La;Hombres;2023;2.168
43028 Bisbal del Penedès, La;Hombres;2022;2.139
43028 Bisbal del Penedès, La;Hombres;2021;2.012
43028 Bisbal del Penedès, La;Mujeres;2025;2.053
43028 Bisbal del Penedès, La;Mujeres;2024;2.000
43028 Bisbal del Penedès, La;Mujeres;2023;1.980
43028 Bisbal del Penedès, La;Mujeres;2022;1.923
43028 Bisbal del Penedès, La;Mujeres;2021;1.818
43029 Blancafort;Total;2025;392
43029 Blancafort;Total;2024;393
43029 Blancafort;Total;2023;393
43029 Blancafort;Total;2022;394
43029 Blancafort;Total;2021;398
43029 Blancafort;Hombres;2025;200
43029 Blancafort;Hombres;2024;199
43029 Blancafort;Hombres;2023;202
43029 Blancafort;Hombres;2022;205
43029 Blancafort;Hombres;2021;209
43029 Blancafort;Mujeres;2025;192
43029 Blancafort;Mujeres;2024;194
43029 Blancafort;Mujeres;2023;191
43029 Blancafort;Mujeres;2022;189
43029 Blancafort;Mujeres;2021;189
43030 Bonastre;Total;2025;777
43030 Bonastre;Total;2024;760
43030 Bonastre;Total;2023;745
43030 Bonastre;Total;2022;742
43030 Bonastre;Total;2021;727
43030 Bonastre;Hombres;2025;415
43030 Bonastre;Hombres;2024;405
43030 Bonastre;Hombres;2023;403
43030 Bonastre;Hombres;2022;387
43030 Bonastre;Hombres;2021;384
43030 Bonastre;Mujeres;2025;362
43030 Bonastre;Mujeres;2024;355
43030 Bonastre;Mujeres;2023;342
43030 Bonastre;Mujeres;2022;355
43030 Bonastre;Mujeres;2021;343
43031 Borges del Camp, Les;Total;2025;2.319
43031 Borges del Camp, Les;Total;2024;2.260
43031 Borges del Camp, Les;Total;2023;2.194
43031 Borges del Camp, Les;Total;2022;2.148
43031 Borges del Camp, Les;Total;2021;2.104
43031 Borges del Camp, Les;Hombres;2025;1.210
43031 Borges del Camp, Les;Hombres;2024;1.164
43031 Borges del Camp, Les;Hombres;2023;1.127
43031 Borges del Camp, Les;Hombres;2022;1.104
43031 Borges del Camp, Les;Hombres;2021;1.077
43031 Borges del Camp, Les;Mujeres;2025;1.109
43031 Borges del Camp, Les;Mujeres;2024;1.096
43031 Borges del Camp, Les;Mujeres;2023;1.067
43031 Borges del Camp, Les;Mujeres;2022;1.044
43031 Borges del Camp, Les;Mujeres;2021;1.027
43032 Bot;Total;2025;548
43032 Bot;Total;2024;554
43032 Bot;Total;2023;559
43032 Bot;Total;2022;566
43032 Bot;Total;2021;566
43032 Bot;Hombres;2025;269
43032 Bot;Hombres;2024;276
43032 Bot;Hombres;2023;284
43032 Bot;Hombres;2022;290
43032 Bot;Hombres;2021;289
43032 Bot;Mujeres;2025;279
43032 Bot;Mujeres;2024;278
43032 Bot;Mujeres;2023;275
43032 Bot;Mujeres;2022;276
43032 Bot;Mujeres;2021;277
43033 Botarell;Total;2025;1.161
43033 Botarell;Total;2024;1.174
43033 Botarell;Total;2023;1.156
43033 Botarell;Total;2022;1.102
43033 Botarell;Total;2021;1.094
43033 Botarell;Hombres;2025;597
43033 Botarell;Hombres;2024;609
43033 Botarell;Hombres;2023;588
43033 Botarell;Hombres;2022;567
43033 Botarell;Hombres;2021;559
43033 Botarell;Mujeres;2025;564
43033 Botarell;Mujeres;2024;565
43033 Botarell;Mujeres;2023;568
43033 Botarell;Mujeres;2022;535
43033 Botarell;Mujeres;2021;535
43034 Bràfim;Total;2025;697
43034 Bràfim;Total;2024;696
43034 Bràfim;Total;2023;693
43034 Bràfim;Total;2022;687
43034 Bràfim;Total;2021;695
43034 Bràfim;Hombres;2025;341
43034 Bràfim;Hombres;2024;347
43034 Bràfim;Hombres;2023;348
43034 Bràfim;Hombres;2022;344
43034 Bràfim;Hombres;2021;347
43034 Bràfim;Mujeres;2025;356
43034 Bràfim;Mujeres;2024;349
43034 Bràfim;Mujeres;2023;345
43034 Bràfim;Mujeres;2022;343
43034 Bràfim;Mujeres;2021;348
43035 Cabacés;Total;2025;296
43035 Cabacés;Total;2024;302
43035 Cabacés;Total;2023;304
43035 Cabacés;Total;2022;304
43035 Cabacés;Total;2021;312
43035 Cabacés;Hombres;2025;164
43035 Cabacés;Hombres;2024;167
43035 Cabacés;Hombres;2023;168
43035 Cabacés;Hombres;2022;161
43035 Cabacés;Hombres;2021;165
43035 Cabacés;Mujeres;2025;132
43035 Cabacés;Mujeres;2024;135
43035 Cabacés;Mujeres;2023;136
43035 Cabacés;Mujeres;2022;143
